coop,lat,lon,status,activities,address,flocert,type
SCAEK COOP-CA,6.69735,-4.12834,certified Fair Trade producer,production,"BP 94 Kotobi, Kotobi, Ivory Coast",FLO ID 27002,certified
C.3A CA,6.67461,-3.97253,Nestle supplier associated with Cargill,,"Arrah, Ivory Coast",,nestle
COOP-CAAA (Cooperative Agricole Anouanze d’Abongoua),6.64746,-4.10824,certified Fair Trade producer,production,"BP 65 Kotobi, Abongoua, Ivory Coast",FLO ID 25236,certified
COOP-CA P2A (Société Coopérative avec conseil d' administration des Producteurs Agricoles d'Abousouno),6.64869,-4.20514,certified Fair Trade producer,production,"BP 21 Bongouanou, Bongouanou, Ivory Coast",FLO ID 24618,certified
COOP CA ADEDO - Cargill,6.37413,-5.40966,Nestle supplier associated with Cargill. Also certified Fair Trade producer.,"production, collection, commercialization","BP 107 Oume, Oume, Ivory Coast",FLO ID 38663,dual
CAYAT COOP-CA - Cargill (Coopérative Agricole de Yakassé Attobrou),6.09899,-3.85166,Nestle supplier associated with Cargill. Also certified Fair Trade producer.,"production, collection, commercialization","BP 29, Adzopé, Côte d'Ivoire",FLO ID 28419,dual
COOP-CA SOCADAG (Société Coopérative avec conseil d'administration des Agriculteurs de Dagbegoii),4.95187,-6.09179,suspended Fair Trade producer,production,"BP 263 Sassandra, Sassandra, Ivory Coast",FLO ID 37383,suspended
COOP-CA-ECAMOM - Cargill (Societe Cooperative avec ca des Eco-agriculteurs Modernes de Meagui),5.41474,-6.56136,Nestle supplier associated with Cargill. Also certified Fair Trade producer.,"production, collection, commercialization","BP 1430 Divo, Ivory Coast",FLO ID 27899,dual
CNEK (Societe Cooperative Nouvel Esprit de Ketesso),5.87654,-3.17545,certified Fair Trade producer and trader,"production, commercialization","80 km from d'Aboisso, Ketesso, Ivory Coast",FLO ID 32394,certified
COOP-CA ECATAMEA (Méagui ville Société Coopérative Agricole Trawlin des Agriculteurs Meagui),5.40895,-6.56064,suspended Fair Trade producer,production,"BP 163 Meagui, Meagui, Ivory Coast",FLO ID 32713,suspended
ECAPA-GZ COOP CA,5.78651,-6.58899,certified Fair Trade producer,production,"BP 1588 Soubre, Soubre, Ivory Coast",FLO ID 33497,suspended
SOCODA COOP-CA (Société Coopérative pour le Développement Agricole),5.13651,-5.02604,suspended Fair Trade producer,production,"06 BP 1266 Abidjan 06, Grand Lahou, Ivory Coast",FLO ID 34163,certified
COOP CA-CAG,6.74738,-7.36245,certified Fair Trade producer,production,"Duekoué au petit marché, Duekoué, Ivory Coast",FLO ID 34666,suspended
SCOOPAAM (Société Coopérative des Producteurs Agricoles D'Amani-Menou),5.90426,-4.82614,suspended Fair Trade producer,production,"BP 97 Tiassalé, Taabo, Ivory Coast",FLO ID 34795,certified
COOP-CA-COOP Alba (Coopérative Agricole de Lassina-Bango),5.01542,-6.56184,certified Fair Trade producer,production,"Gabiadji, Méné Centre, San Pédro, Ivory Coast",FLO ID 35257,suspended
CODERLACS SCOOPS,6.55615,-5.01568,suspended Fair Trade producer,production,"10 BP 395 Abidjan 10, Toumodi, Ivory Coast",FLO ID 35475,certified
SCOOPANAD-SCOOPS (Société Coopérative Agricole Nouvelle Alliance de Diegonefla),6.28296,-5.57485,certified Fair Trade producer,production,Diégonéfla,FLO ID 36180,certified
Société Coopérative de Para,4.42791,-7.35705,suspended Fair Trade producer,production,"BP 802 San Pedro 01, Tabou, Ivory Coast",FLO ID 36309,suspended
SOCOOPENHA (Société Coopérative Entente de Neka Hannie),4.92661,-7.49494,suspended Fair Trade producer,production,"San Pedro Quartier JB BP 132 Grabo, Grabo, Ivory Coast",FLO ID 36327,suspended
Société Coopérative avec conseil d'administration nouvelle Agricole d'Oume,6.37413,-5.40966,certified Fair Trade producer,production,"BP 854 Oume, Oume, Ivory Coast",FLO ID 36546,certified
C.E.D.A (Société Coopérative Espoir de Dagadji),4.75786,-6.64243,suspended Fair Trade producer,production,"01 BP 46 San Pedro, San Pedro, Ivory Coast",FLO ID 36566,suspended
SCOOPS-SCEB (Société Coopérative Simplifiée Espoir du Bafing),8.28416,-7.68194,suspended Fair Trade producer,production,"Touba, Ivory Coast",FLO ID 36677,suspended
COOP-CA ABO,5.78636,-6.58948,suspended Fair Trade producer,production,"BP 184 Soubré, Soubré, Ivory Coast",FLO ID 36988,suspended
SCOOPS-GORY (Société Coopérative Simplifiée Gory),5.78722,-6.58912,suspended Fair Trade producer,production,"BP 18 Soubre, Soubre, Ivory Coast",FLO ID 37104,suspended
COOP CA ECAPR (Société Coopérative avec conseil d'administration des Eco-Agriculteurs et Producteurs de Robert-Port),5.40255,-6.55761,suspended Fair Trade producer,production,"BP 818 Soubre, Meagui, Ivory Coast",FLO ID 37135,suspended
SCALO COOP-CA (Société Coopérative Agricole de Loboville),5.78585,-6.58901,suspended Fair Trade producer,production,"BP 385 Soubre, Soubre, Ivory Coast",FLO ID 37220,suspended
SCOOPS-ANA.DUE (Société Coopérative Simplifiée Anangaman de Duékoué),6.7472,-7.36348,suspended Fair Trade producer,production,"BP 536 Duekoue, Duekoue, Ivory Coast",FLO ID 37349,suspended
SCOOPS-COOPEK (San-Pedro Société Coopérative Espoir de Kpata-Abidou),4.75791,-6.63981,suspended Fair Trade producer,production,"01 BP 1424 San Pedro 01, San Pedro, Ivory Coast",FLO ID 37421,suspended
CAIBO SCOOPS (Société Coopérative Agricole D'Iboguhe),6.54999,-6.85,suspended Fair Trade producer,production,"BP 779 Issia, Iboguhe, Ivory Coast",FLO ID 37845,suspended
COOP-CA SOCAPROZ (Société Coopérative avec Conseil d'Administration da Tai),6.21116,-7.48682,suspended Fair Trade producer,production,"BP 64 Guiglo, Zagne, Ivory Coast",FLO ID 37968,suspended
SCAC COOP-CA (Société Coopérative des Agriculteurs Communs de Tiassale),5.86799,-4.7588,suspended Fair Trade producer,production,"BP 485 N'douci, Tiassale, Ivory Coast",FLO ID 3801,suspended
