Trade partner,Type,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
EUROPE,Import,239934,276065,366341,526280,734742,1257611,995887,1153109,1315555,1304860,1450608,1597210,2034986,2829247,3343288,3850301
AFRICA,Import,2468,690,1768,3496,3674,7695,5904,10897,11418,8889,11955,9421,19540,17756,33870,29837
NORTH AND SOUTH AMERICA,Import,50855,33055,37470,47068,65309,76416,65003,92869,109191,94264,107542,109735,112669,92278,132241,167759
ASIA,Import,6510,4151,4604,9846,18303,40095,20297,31623,26220,127671,215012,210879,213675,255046,343054,372510
OCEANIA,Import,3534,1037,957,404,168,875,2978,3835,4528,3804,1360,13245,18482,20855,5297,4899
EUROPE,Export,225683,246093,243526,254514,439876,624279,717444,826223,994001,1111691,1407755,1588173,1679267,2076596,2543212,2540234
AFRICA,Export,31,317,..,..,380,8,125,154,17,579,5,14,285,1176,1204,970
NORTH AND SOUTH AMERICA,Export,7194,5579,5060,7309,11942,10414,8538,12732,14350,15781,15360,20348,24998,28400,48872,51372
ASIA,Export,3349,2786,2070,3196,1222,938,1442,1968,2909,4147,91024,83828,262466,330011,350477,296729
OCEANIA,Export,762,962,1540,10436,14509,17481,15186,14838,26813,33463,18447,28340,15613,11022,7110,14844
